danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Position,Genres,Artist_Name,Date
0.799,0.597,5,-5.131,0,0.0611,0.0788,5.66e-06,0.1,0.419,110.001,199849,4,73,pop**pop rock,Maroon 5,9/11/17
0.608,0.928,6,-2.724,0,0.0883,0.133,0.0,0.103,0.738,130.012,177306,4,76,contemporary country**country**country road,Luke Bryan,9/11/17
0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,120027,4,77,emo rap**miami hip hop,XXXTENTACION,9/11/17
0.859,0.563,1,-6.635,0,0.112,0.0541,0.0,0.0685,0.412,119.934,258789,4,79,melodic rap**philly rap**rap**trap,Lil Uzi Vert,9/11/17
0.773,0.75,8,-4.009,0,0.117,0.109,0.0,0.174,0.783,123.426,220587,4,80,melodic rap**philly rap**rap**trap,Lil Uzi Vert,9/11/17
0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,182707,4,81,melodic rap**philly rap**rap**trap,Lil Uzi Vert,9/11/17
0.902,0.673,4,-7.481,1,0.458,0.159,0.0,0.289,0.615,132.066,177048,4,82,melodic rap**philly rap**rap**trap,Lil Uzi Vert,9/11/17
0.778,0.707,4,-3.606,0,0.0746,0.0459,0.0,0.111,0.458,126.684,190355,4,84,melodic rap**philly rap**rap**trap,Lil Uzi Vert,9/11/17
0.788,0.689,8,-7.211,1,0.13,0.0112,0.0,0.22,0.681,136.045,189230,4,90,melodic rap**philly rap**rap**trap,Lil Uzi Vert,9/11/17
0.769,0.156,11,-10.7,0,0.035,0.585,0.015,0.102,0.527,105.95,144733,4,91,emo rap**miami hip hop,XXXTENTACION,9/11/17
0.747,0.606,4,-5.286,1,0.172,0.222,0.0,0.281,0.2,155.055,173419,4,92,melodic rap**philly rap**rap**trap,Lil Uzi Vert,9/11/17
0.731,0.204,9,-11.314,0,0.0369,0.307,0.0109,0.0989,0.191,142.141,163202,4,94,emo rap**miami hip hop,XXXTENTACION,9/11/17
0.735,0.197,3,-13.378,0,0.537,0.768,0.000276,0.296,0.383,147.899,129720,4,95,emo rap**miami hip hop,XXXTENTACION,9/11/17
0.54,0.599,6,-5.465,1,0.0452,0.0257,0.0,0.147,0.243,82.029,236987,4,97,dance pop**pop**post-teen pop,Demi Lovato,9/11/17
0.613,0.764,2,-6.509,1,0.136,0.0527,0.0,0.197,0.417,160.015,208187,4,4,pop,Taylor Swift,9/18/17
0.852,0.577,6,-6.347,0,0.16,0.215,0.0,0.138,0.448,119.986,140008,4,77,pop**social media pop**trap queen**viral rap,Bhad Bhabie,9/18/17
0.675,0.751,0,-3.539,1,0.0296,0.0604,0.0,0.0893,0.612,118.384,181279,4,81,dance pop**electropop**etherpop**indie poptimism**pop,Halsey,9/18/17
0.669,0.617,10,-8.72,1,0.057,0.401,0.0,0.119,0.621,147.992,222573,4,86,contemporary country**country pop,LANCO,9/18/17
0.674,0.506,6,-10.532,1,0.0434,0.173,0.0,0.0866,0.183,145.965,259333,4,97,dance pop**pop**r&b**urban contemporary,Miguel,9/18/17
0.614,0.682,11,-4.117,0,0.102,0.387,0.0,0.134,0.566,100.202,169853,4,100,detroit hip hop**pop r&b**pop rap**r&b**rap**trap**trap queen,DeJ Loaf,9/18/17
0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,201000,4,5,dance pop**pop**uk pop,Sam Smith,9/25/17
0.258,0.437,11,-6.593,0,0.039,0.101,1.27e-06,0.106,0.0967,180.043,239000,4,44,dance pop**pop**post-teen pop**uk pop,ZAYN,9/25/17
0.808,0.581,11,-5.43,1,0.07,0.0053,1.19e-05,0.0828,0.758,130.012,172427,4,62,dance pop**neo mellow**pop**pop rock**post-teen pop**talent show,Kelly Clarkson,9/25/17
0.46,0.821,4,-5.333,0,0.0404,0.0528,0.0,0.0818,0.438,164.144,191733,4,80,black americana**contemporary country**country road,Kane Brown,9/25/17
0.936,0.523,5,-6.71,1,0.0597,0.239,0.0,0.117,0.699,119.889,124056,4,81,emo rap**miami hip hop**rap**social media pop**trap**vapor trap,Lil Pump,9/25/17
0.838,0.771,1,-3.791,1,0.244,0.0117,0.0,0.0853,0.405,175.957,245387,4,85,indie pop rap**oakland hip hop**pop**pop rap**rap,G-Eazy,9/25/17
0.82,0.696,7,-4.918,0,0.182,0.119,0.0,0.232,0.617,144.981,293435,4,98,dance pop**pop**pop rap**r&b**rap,Chris Brown,9/25/17
0.664,0.708,8,-4.154,1,0.0474,0.0337,0.0,0.0841,0.742,103.07,174800,4,99,dance pop**pop**post-teen pop,Hailee Steinfeld,9/25/17
0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147,4,2,dfw rap**melodic rap**rap,Post Malone,10/2/17
0.443,0.533,0,-6.548,1,0.0396,0.371,0.0,0.128,0.201,77.344,223044,4,66,dance pop**pop**post-teen pop,Niall Horan,10/2/17
0.76,0.476,8,-8.103,1,0.241,0.294,0.0,0.1,0.354,147.01,161990,4,67,atl hip hop**dirty south rap**gangster rap**hip hop**pop rap**rap**southern hip hop**trap,Gucci Mane,10/2/17
0.598,0.775,1,-4.035,0,0.0545,0.022,0.0,0.0677,0.687,129.819,223123,4,85,k-pop**k-pop boy group,BTS,10/2/17
0.781,0.548,0,-4.997,0,0.0764,0.229,0.0,0.127,0.175,106.996,214255,4,92,art pop**electropop**metropopolis**nz pop**pop,Lorde,10/2/17
0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,205920,4,3,dance pop**pop,Ariana Grande,4/30/18
0.772,0.498,8,-7.661,1,0.649,0.115,0.0,0.0898,0.351,81.817,216727,4,6,conscious hip hop**hip hop**north carolina hip hop**rap,J. Cole,4/30/18
0.829,0.527,6,-6.644,0,0.367,0.482,0.0,0.631,0.475,116.079,200310,4,8,conscious hip hop**hip hop**north carolina hip hop**rap,J. Cole,4/30/18
0.823,0.783,0,-6.274,1,0.154,0.21,0.0,0.113,0.199,141.882,191437,4,10,conscious hip hop**hip hop**north carolina hip hop**rap,J. Cole,4/30/18
0.691,0.487,1,-6.416,1,0.268,0.0299,0.0,0.0868,0.358,104.98,218954,3,14,conscious hip hop**hip hop**north carolina hip hop**rap,J. Cole,4/30/18
0.869,0.385,4,-7.801,1,0.297,0.135,0.0,0.0931,0.596,149.897,133922,4,15,conscious hip hop**hip hop**north carolina hip hop**rap,J. Cole,4/30/18
0.679,0.648,2,-5.892,1,0.445,0.145,0.0,0.182,0.635,94.378,190177,4,20,conscious hip hop**hip hop**north carolina hip hop**rap,J. Cole,4/30/18
0.734,0.543,1,-7.979,1,0.4,0.186,0.0,0.372,0.336,78.168,237295,4,28,conscious hip hop**hip hop**north carolina hip hop**rap,J. Cole,4/30/18
0.678,0.567,10,-9.148,0,0.261,0.188,1.67e-06,0.164,0.658,84.039,315771,4,30,conscious hip hop**hip hop**north carolina hip hop**rap,J. Cole,4/30/18
0.719,0.626,8,-9.351,1,0.397,0.0607,0.0,0.0728,0.179,75.032,286730,4,41,conscious hip hop**hip hop**north carolina hip hop**rap,J. Cole,4/30/18
0.715,0.652,6,-7.909,0,0.396,0.101,0.0,0.11,0.498,109.28,257646,5,46,conscious hip hop**hip hop**north carolina hip hop**rap,J. Cole,4/30/18
0.623,0.473,8,-8.336,1,0.461,0.626,0.0,0.119,0.138,84.066,197822,4,47,conscious hip hop**hip hop**north carolina hip hop**rap,J. Cole,4/30/18
0.679,0.648,2,-5.892,1,0.445,0.145,0.0,0.182,0.635,94.378,190177,4,53,conscious hip hop**hip hop**north carolina hip hop**rap,J. Cole,4/30/18
0.652,0.678,2,-6.183,1,0.0541,0.183,3.26e-05,0.106,0.28,72.989,263014,4,57,pop**pop r&b,Khalid,4/30/18
0.535,0.777,4,-3.292,1,0.207,0.0187,1.62e-06,0.136,0.664,171.72,215107,4,72,contemporary country**country**country dawn**country road**modern country rock,Sugarland,4/30/18
0.904,0.651,11,-3.785,0,0.186,0.367,0.000112,0.0518,0.371,96.54,413680,4,74,latin**latin hip hop**reggaeton**reggaeton flow**trap latino,Casper Magico,4/30/18
0.878,0.947,8,-3.054,0,0.0642,0.0631,1.42e-05,0.142,0.811,110.047,178366,4,81,dance pop**latin**miami hip hop**pop**pop rap,Pitbull,4/30/18
0.764,0.587,5,-7.002,0,0.0298,0.0721,6.45e-06,0.094,0.494,89.98,229573,4,95,contemporary country**country**country road**country rock**modern country rock,David Lee Murphy,4/30/18
0.691,0.736,0,-4.993,1,0.0321,0.104,0.0,0.111,0.0395,140.034,193510,4,98,hip hop**melodic rap**mississippi hip hop**pop rap**rap**southern hip hop**trap,Rae Sremmurd,4/30/18
0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,231267,4,7,dfw rap**melodic rap**rap,Post Malone,5/7/18
0.625,0.536,0,-5.428,1,0.0776,0.038,2.31e-05,0.167,0.253,159.914,221787,4,11,dfw rap**melodic rap**rap,Post Malone,5/7/18
0.599,0.571,2,-4.998,1,0.0665,0.198,0.0,0.0969,0.285,151.974,206453,4,14,dfw rap**melodic rap**rap,Post Malone,5/7/18
0.672,0.717,1,-2.714,1,0.034,0.341,2.4e-05,0.106,0.225,160.981,194560,4,15,dfw rap**melodic rap**rap,Post Malone,5/7/18
0.797,0.55,9,-4.166,1,0.24,0.513,0.0,0.0786,0.543,134.206,206267,4,16,dfw rap**melodic rap**rap,Post Malone,5/7/18
0.507,0.48,5,-5.418,1,0.0266,0.449,0.0,0.147,0.35,86.046,204427,4,17,dfw rap**melodic rap**rap,Post Malone,5/7/18
0.731,0.774,10,-5.273,0,0.0555,0.434,3.34e-06,0.114,0.219,100.005,212467,4,20,dfw rap**melodic rap**rap,Post Malone,5/7/18
0.738,0.824,5,-5.165,0,0.0437,0.15,0.0,0.132,0.386,138.039,204360,4,23,dfw rap**melodic rap**rap,Post Malone,5/7/18
0.569,0.777,4,-4.041,0,0.0834,0.139,0.0,0.132,0.181,164.027,246987,4,24,dfw rap**melodic rap**rap,Post Malone,5/7/18
0.762,0.621,0,-6.24,1,0.0866,0.61,0.0,0.464,0.593,120.056,216747,4,29,dfw rap**melodic rap**rap,Post Malone,5/7/18
0.798,0.733,7,-4.811,0,0.0476,0.265,1.25e-06,0.114,0.861,146.046,211427,4,40,dfw rap**melodic rap**rap,Post Malone,5/7/18
0.652,0.643,9,-5.667,0,0.0353,0.318,2.87e-06,0.208,0.109,104.932,228227,4,46,dfw rap**melodic rap**rap,Post Malone,5/7/18
0.652,0.591,11,-7.274,0,0.0418,0.145,5.65e-06,0.164,0.274,121.873,261800,4,47,dfw rap**melodic rap**rap,Post Malone,5/7/18
0.606,0.775,5,-4.269,0,0.0671,0.262,0.0,0.1,0.307,164.02,228147,4,57,dfw rap**melodic rap**rap,Post Malone,5/7/18
0.534,0.815,5,-2.815,1,0.0278,0.708,0.0,0.111,0.564,159.848,192520,4,62,contemporary country**country,Mason Ramsey,5/7/18
0.38,0.454,0,-10.271,0,0.0362,0.755,0.623,0.263,0.288,77.592,112013,4,73,dfw rap**melodic rap**rap,Post Malone,5/7/18
0.809,0.845,10,-5.843,0,0.352,0.224,0.0,0.638,0.67,90.015,176990,4,77,baton rouge rap**trap,YoungBoy Never Broke Again,5/7/18
0.464,0.822,1,-1.881,1,0.294,0.0568,0.0,0.103,0.722,79.973,202641,4,85,chicago rap**rap,Kanye West,5/7/18
0.854,0.463,5,-6.159,1,0.137,0.117,0.0,0.354,0.549,120.024,225773,4,1,atl hip hop**hip hop**pop**pop rap**rap,Childish Gambino,5/14/18
0.706,0.559,4,-5.216,0,0.0416,0.0372,0.0,0.379,0.252,78.534,217405,4,16,rap**slap house,Travis Scott,5/14/18
0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,193200,4,58,contemporary country**country,Luke Combs,5/14/18
0.534,0.596,6,-6.653,0,0.117,0.56,0.0,0.133,0.324,100.121,190867,4,65,canadian pop**dance pop**pop**viral pop,Shawn Mendes,5/14/18
0.856,0.632,6,-3.692,0,0.074,0.193,0.0,0.0688,0.697,112.009,180493,4,74,dance pop**pop**viral pop,Charlie Puth,5/14/18
0.82,0.603,8,-7.18,1,0.308,0.0351,0.0159,0.122,0.177,159.976,151851,4,80,pop**social media pop**trap queen**viral rap,Bhad Bhabie,5/14/18
0.638,0.367,4,-7.906,1,0.0266,0.84,0.0,0.0999,0.219,71.957,217120,4,97,contemporary country,Brett Young,5/14/18
0.731,0.675,8,-4.771,0,0.247,0.175,0.0,0.213,0.381,155.049,236071,4,98,baton rouge rap**trap,YoungBoy Never Broke Again,5/14/18
0.673,0.649,1,-8.433,0,0.196,0.188,0.0,0.122,0.47,153.075,153800,4,46,atl hip hop**plugg**rap**trap,Playboi Carti,5/21/18
0.963,0.346,5,-9.309,0,0.53,0.0355,0.0,0.108,0.562,119.957,142273,4,49,atl hip hop**atl trap**rap**trap,Lil Baby,5/21/18
0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,207905,4,50,dance pop**pop**post-teen pop,Selena Gomez,5/21/18
0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4,74,chicago rap**melodic rap,Juice WRLD,5/21/18
0.777,0.782,0,-4.435,0,0.0907,0.0505,0.0,0.64,0.773,94.023,221653,4,77,latin**latin arena pop**latin pop**mexican pop,Reik,5/21/18
0.718,0.767,9,-5.641,1,0.166,0.138,0.0,0.114,0.519,160.084,156000,4,91,melodic rap**rap**trap,Lil Skies,5/21/18
0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820,4,92,chicago rap**melodic rap,Juice WRLD,5/21/18
0.557,0.719,2,-4.515,0,0.0372,0.00267,0.0,0.306,0.344,77.501,242334,4,10,k-pop**k-pop boy group,BTS,5/28/18
0.706,0.783,2,-5.337,1,0.424,0.129,0.0,0.0952,0.513,130.195,205861,4,68,baton rouge rap**pop rap**rap**southern hip hop**trap,Kevin Gates,5/28/18
0.813,0.646,4,-4.901,1,0.263,0.00271,0.0,0.191,0.375,77.518,173437,4,79,atl hip hop**atl trap**rap**trap,Lil Baby,5/28/18
0.716,0.541,1,-7.909,1,0.149,0.0021,0.0,0.115,0.387,139.978,247055,4,80,atl hip hop**atl trap**rap**trap,Lil Baby,5/28/18
0.737,0.728,5,-5.498,0,0.402,0.0392,0.0,0.159,0.587,144.964,195456,4,82,baton rouge rap**pop rap**rap**southern hip hop**trap,Kevin Gates,5/28/18
0.831,0.713,1,-3.646,0,0.094,0.181,0.0,0.0572,0.69,132.109,202853,4,83,pop rap,Pharrell Williams,5/28/18
0.618,0.845,2,0.175,1,0.132,0.114,0.0,0.415,0.486,171.921,181720,4,84,dance pop**edm**electro house**house**moombahton**ninja**pop**pop dance**tropical house,Diplo,5/28/18
0.642,0.782,5,-3.395,0,0.0477,0.381,0.0,0.108,0.396,162.005,195053,4,86,canadian hip hop**canadian trap**hip hop**melodic rap**pop rap**rap**toronto rap**trap,NAV,5/28/18
0.624,0.696,11,-6.006,1,0.0469,0.109,0.0,0.132,0.392,82.001,213987,4,98,contemporary country**country pop,Sam Hunt,5/28/18
0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,205040,4,45,east coast hip hop**hip hop**rap**trap,A$AP Rocky,6/4/18
0.779,0.767,11,-5.462,0,0.258,0.00214,0.0,0.102,0.523,91.981,154565,4,46,emo rap**rap,6ix9ine,6/4/18
0.674,0.578,10,-8.768,0,0.298,0.0518,0.0055,0.72,0.163,112.265,170240,5,65,alternative hip hop**gangster rap**hip hop**pop rap**rap**southern hip hop**trap**underground hip hop**virginia hip hop,Pusha T,6/4/18
0.745,0.346,1,-7.709,1,0.331,0.00552,0.0,0.0881,0.112,203.911,237240,4,66,cali rap**gangster rap**hip hop**pop rap**rap**southern hip hop**trap,YG,6/4/18
0.46,0.697,6,-5.954,0,0.325,0.0186,0.0,0.362,0.701,153.426,202120,4,73,alternative hip hop**gangster rap**hip hop**pop rap**rap**southern hip hop**trap**underground hip hop**virginia hip hop,Pusha T,6/4/18
0.678,0.636,1,-3.155,1,0.0782,0.0064,8.38e-06,0.177,0.0636,83.071,153267,4,75,alternative hip hop**gangster rap**hip hop**pop rap**rap**southern hip hop**trap**underground hip hop**virginia hip hop,Pusha T,6/4/18
0.721,0.881,8,-2.528,1,0.342,0.41,7.61e-06,0.292,0.643,127.759,213750,4,80,dance pop**pop**pop rap**urban contemporary,Jennifer Lopez,6/4/18
0.884,0.559,0,-7.442,1,0.12,0.0236,0.0,0.101,0.342,97.994,232959,4,82,dance pop**hip hop**pop rap**rap**southern hip hop**trap,Tyga,6/4/18
0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4,89,art pop**electropop**pop,Billie Eilish,6/4/18
0.604,0.868,6,-3.539,1,0.0445,0.086,0.0,0.0502,0.553,94.057,187027,4,93,contemporary country**country**country road**modern country rock,Jake Owen,6/4/18
0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,235545,4,94,pop**pop rock,Maroon 5,6/4/18
0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,190947,4,98,modern rock,Panic! At The Disco,6/4/18
0.694,0.796,5,-3.696,1,0.198,0.0713,0.0163,0.096,0.592,78.033,166120,4,100,alternative hip hop**gangster rap**hip hop**pop rap**rap**southern hip hop**trap**underground hip hop**virginia hip hop,Pusha T,6/4/18
0.683,0.776,1,-3.251,0,0.341,0.15,0.0,0.227,0.223,173.996,188773,4,8,chicago rap**rap,Kanye West,6/11/18
0.925,0.31,11,-6.531,0,0.291,0.123,0.0,0.0931,0.291,121.927,145507,4,11,chicago rap**rap,Kanye West,6/11/18
0.573,0.545,7,-4.247,0,0.0288,0.0969,0.0,0.329,0.297,83.378,271387,4,16,chicago rap**rap,Kanye West,6/11/18
0.669,0.419,1,-6.724,0,0.522,0.376,0.0,0.187,0.0397,109.813,215320,4,27,chicago rap**rap,Kanye West,6/11/18
0.752,0.396,2,-7.932,1,0.411,0.867,0.0,0.0486,0.417,116.016,274187,4,28,chicago rap**rap,Kanye West,6/11/18
0.643,0.646,10,-2.442,0,0.0629,0.0393,0.0,0.109,0.35,80.174,123040,4,36,chicago rap**rap,Kanye West,6/11/18
0.362,0.882,3,-3.717,1,0.0973,0.0791,0.0,0.15,0.864,199.811,185200,4,55,contemporary country**country**country pop**country road**modern country rock,Florida Georgia Line,6/11/18
0.632,0.807,0,-5.893,1,0.126,0.144,0.0211,0.125,0.784,160.174,197933,4,85,alternative hip hop,Gorillaz,6/11/18
0.534,0.784,8,-3.59,1,0.0339,0.205,0.00579,0.106,0.6,92.147,238627,4,89,alternative rock**modern power pop**modern rock**permanent wave**rock,Weezer,6/11/18
0.596,0.854,7,-5.114,0,0.463,0.0169,0.0,0.124,0.152,120.274,203418,4,96,boy band**dance pop**electropop**pop**post-teen pop,5 Seconds of Summer,6/11/18
0.791,0.745,11,-3.695,0,0.0464,0.354,2.93e-05,0.104,0.82,94.014,188560,4,99,dance pop**latin**latin pop**latin viral pop**pop**rap latina**reggaeton**trap latino,Becky G,6/11/18
0.585,0.597,0,-7.499,1,0.037,0.339,0.0404,0.195,0.227,100.051,324674,4,39,hip hop**rap,KIDS SEE GHOSTS,6/18/18
0.765,0.542,1,-6.755,1,0.39,0.278,1.87e-05,0.609,0.734,171.945,153351,4,42,hip hop**rap,KIDS SEE GHOSTS,6/18/18
0.58,0.469,0,-5.946,0,0.104,0.126,7.32e-05,0.099,0.369,110.573,165053,4,47,hip hop**rap,KIDS SEE GHOSTS,6/18/18
0.334,0.81,9,-4.855,0,0.0632,0.00457,0.0,0.158,0.306,151.643,206605,4,62,hip hop**rap,KIDS SEE GHOSTS,6/18/18
0.765,0.542,1,-6.755,1,0.39,0.278,1.87e-05,0.609,0.734,171.945,153351,4,67,hip hop**rap,KIDS SEE GHOSTS,6/18/18
0.729,0.504,8,-6.784,0,0.0321,0.401,1.44e-06,0.121,0.305,110.011,197001,4,69,hip hop**rap,KIDS SEE GHOSTS,6/18/18
0.841,0.682,2,-7.007,1,0.0458,0.113,9.65e-05,0.131,0.338,94.985,245098,4,73,hip hop**rap,KIDS SEE GHOSTS,6/18/18
0.545,0.854,4,-4.968,0,0.0289,0.00244,1.2e-06,0.249,0.436,91.967,178987,4,84,black americana**contemporary country**country road,Kane Brown,6/18/18
0.879,0.635,9,-5.098,1,0.259,0.0517,0.0,0.0786,0.568,146.97,192600,4,88,dance pop**hip pop**pop**pop rap**queens hip hop,Nicki Minaj,6/18/18
0.773,0.602,10,-6.384,1,0.108,0.194,0.000443,0.141,0.442,74.896,211200,4,90,melodic rap**rap**trap,Lil Skies,6/18/18
0.698,0.783,2,-6.503,1,0.266,0.016,0.0,0.176,0.378,160.034,264853,4,13,pop**r&b**urban contemporary,The Carters,6/25/18
0.757,0.73,7,-6.304,1,0.185,0.0342,5.87e-05,0.136,0.452,90.013,189533,4,43,dance pop**hip pop**pop**pop rap**queens hip hop,Nicki Minaj,6/25/18
0.668,0.828,4,-5.034,0,0.0739,0.036,0.0,0.0932,0.393,140.042,211350,4,55,k-pop**k-pop girl group,BLACKPINK,6/25/18
0.688,0.688,3,-5.84,1,0.0357,0.3,0.0,0.0982,0.451,114.011,193321,4,74,edm**pop**pop dance**tropical house,Kygo,6/25/18
0.813,0.488,11,-7.737,0,0.257,0.187,0.000132,0.231,0.688,139.983,244133,4,77,pop**r&b**urban contemporary,The Carters,6/25/18
0.506,0.693,0,-7.265,0,0.0412,0.584,9.58e-05,0.0891,0.221,139.912,216420,4,78,dance pop**dutch edm**edm**pop**pop dance**progressive house**tropical house,Martin Garrix,6/25/18
0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,110886,4,80,emo rap**miami hip hop,XXXTENTACION,6/25/18
0.592,0.569,10,-6.374,1,0.0634,0.12,1.75e-05,0.251,0.562,135.414,285200,4,84,pop**r&b**urban contemporary,The Carters,6/25/18
0.552,0.698,8,-4.817,1,0.0306,0.294,0.000103,0.0905,0.6,90.006,202067,4,85,contemporary country**country**country road,Jason Aldean,6/25/18
0.912,0.533,1,-5.587,1,0.0618,0.092,1.48e-06,0.174,0.208,119.922,233680,4,95,pop**r&b**urban contemporary,The Carters,6/25/18
0.442,0.71,7,-5.142,1,0.684,0.0264,0.0,0.618,0.508,205.116,167908,4,96,conscious hip hop**east coast hip hop**gangster rap**hardcore hip hop**hip hop**queens hip hop**rap,Nas,6/25/18
0.75,0.573,10,-8.391,0,0.0779,0.137,1.89e-05,0.133,0.303,143.948,344293,4,99,pop**r&b**urban contemporary,The Carters,6/25/18
0.397,0.303,1,-10.413,1,0.11,0.798,4.16e-06,0.0824,0.17,170.22,197893,3,58,dance pop**pop**post-teen pop,Demi Lovato,7/2/18
0.594,0.798,4,-5.244,1,0.0844,0.115,0.0,0.143,0.381,142.049,191840,4,65,chicago rap**melodic rap,Juice WRLD,7/2/18
0.383,0.703,4,-6.988,1,0.228,0.216,5.47e-06,0.131,0.57,88.502,213939,4,88,australian country**australian pop**contemporary country**country**country road,Keith Urban,7/2/18
0.687,0.845,7,-4.37,1,0.0576,0.1,0.0,0.0452,0.809,87.972,190227,4,92,contemporary country**country**country road**modern country rock,Thomas Rhett,7/2/18
0.877,0.547,7,-5.705,1,0.18,0.0122,1.51e-05,0.028,0.687,99.034,228373,4,95,dance pop**pop,Ariana Grande,7/2/18
0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,222653,4,97,dance pop**edm**pop**pop dance**tropical house**uk dance**uk funky,Clean Bandit,7/2/18
0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983,238614,4,2,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,217925,4,6,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.414,0.677,1,-5.12,1,0.254,0.0248,0.0,0.0793,0.0853,172.521,302173,4,8,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.822,0.318,10,-12.391,1,0.0575,0.493,0.0128,0.11,0.138,102.998,245787,4,9,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.754,0.575,4,-8.393,0,0.0682,0.045,0.00131,0.276,0.491,86.009,205147,4,13,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.758,0.474,1,-8.72,1,0.147,0.0152,0.0,0.116,0.0542,76.061,184960,4,14,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.555,0.596,9,-9.09,0,0.375,0.133,0.0,0.123,0.145,77.324,136187,4,17,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.761,0.598,10,-7.249,0,0.182,0.126,0.0,0.0839,0.446,173.897,163974,4,18,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.758,0.491,11,-9.877,1,0.138,0.00354,6.5e-06,0.292,0.334,140.121,223240,4,20,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.527,0.689,2,-7.87,1,0.741,0.161,0.0,0.498,0.31,170.538,195720,4,21,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.486,0.849,1,-5.432,1,0.246,0.0481,0.0,0.143,0.519,152.086,216333,4,27,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.776,0.482,1,-11.269,1,0.0357,0.477,0.0456,0.11,0.134,136.008,247893,4,28,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.889,0.372,7,-10.254,0,0.357,0.013,0.0,0.184,0.123,133.997,162800,4,30,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.764,0.271,0,-5.697,1,0.0414,0.037,0.0,0.175,0.0371,116.019,262453,4,32,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.708,0.547,1,-7.607,1,0.314,0.727,0.0,0.159,0.549,83.8,226907,4,36,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.85,0.473,10,-5.747,0,0.209,0.117,0.0103,0.108,0.38,85.454,157605,4,37,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.687,0.218,9,-13.539,0,0.0388,0.85,0.000125,0.106,0.269,91.991,206027,4,38,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.687,0.429,2,-13.075,1,0.192,0.0407,0.0,0.142,0.336,141.966,289560,4,41,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.807,0.319,0,-8.152,0,0.0581,0.133,0.000338,0.101,0.299,94.992,182080,4,42,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.657,0.571,2,-12.519,1,0.139,0.11,0.00123,0.0735,0.622,167.958,207307,4,51,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.5,0.449,0,-10.977,1,0.442,0.422,7.96e-06,0.115,0.104,144.206,219960,1,56,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.558,0.414,10,-7.355,0,0.358,0.405,0.0,0.36,0.318,127.094,309560,4,57,canadian hip hop**canadian pop**hip hop**rap**toronto rap,Drake,7/9/18
0.592,0.571,1,-7.132,1,0.174,0.172,0.0,0.106,0.424,104.95,176076,4,63,dance pop**pop**pop r&b**pop rap**r&b**urban contemporary,Queen Naija,7/9/18
